Date_Time_1,subjectsID,Group,Energy_Balance,actual_allmeters,actual_allmeters_cumsum,actual_foodupa,actual_pedmeters,actual_pedmeters_cumsum,actual_waterupa,bodymass,kcal_hr,locomotor_activity,rq,vco2,vh2o,vo2,xbreak,ybreak
2021-07-28 18:00:00,10,Control,0.0201924026666666,1.8726050000000003,4.20099,1.311145508,1.4498723333333334,3.268342666666667,0.3382134599999999,22.63443666666667,0.4168561,163.66666666666666,0.9466516666666666,78.93834,7.954018,83.62096000000001,47.0,116.66666666666669
2021-07-28 18:00:00,11,Group_3,-0.33448385344,1.4211416666666663,5.896821999999999,0.0433484396799999,1.1959803333333332,5.17762,0.0,21.33968333333333,0.3489333333333333,142.33333333333334,0.8124309333333333,58.637944000000005,6.724782,72.08318000000001,49.333333333333336,93.0
2021-07-28 18:00:00,12,Group_2,-0.3411493333333333,2.2693933333333334,17.53841,0.0,2.024253333333333,16.004263333333334,0.0,24.23304333333333,0.3411493333333333,214.33333333333331,0.7760758333333334,55.44501,6.757846000000001,71.0041,67.66666666666667,146.66666666666666
2021-07-28 18:00:00,13,Control,-0.1189749359999999,0.7241656666666666,5.746234,0.776242692,0.5666666666666668,4.511928333333333,0.05859378,25.605406666666667,0.3777224999999999,68.66666666666667,0.8516977333333333,65.91394000000001,8.362822,77.34628,0.0,68.66666666666667
2021-07-28 18:00:00,14,Group_3,-0.184672752,1.2856440000000002,6.73963,0.632629444,1.1232680000000002,5.79133,0.1019593,23.58994,0.3955492333333333,109.0,0.8290982333333333,67.802002,7.036456,81.33981999999999,45.333333333333336,63.66666666666666
2021-07-28 18:00:00,15,Group_3,-0.1280057986666666,1.1090133333333334,16.521515333333333,0.707277304,0.6446600000000006,13.649688,0.0,25.52795,0.3637649,192.33333333333331,0.8338590333333333,62.622122,9.585588,74.72846,33.666666666666664,158.66666666666666
2021-07-28 18:00:00,16,Group_2,-0.4138211333333333,2.574146666666666,10.94471,0.0,1.909293333333333,8.417991333333333,0.13530182,24.83013,0.4138211333333333,399.3333333333333,0.7736695333333333,66.86111,9.23955,86.24023999999999,102.66666666666669,296.6666666666667
2021-07-28 18:00:00,2,Group_3,,1.7641646666666666,4.654087733333333,2.678503416,1.1280390000000002,2.9915856666666665,0.06381225,23.21129666666667,0.4853756666666666,266.3333333333333,0.9336572666666668,91.09932,12.88895,97.5945,47.0,219.33333333333331
2021-07-28 18:00:00,3,Group_2,-0.6167223000000001,8.01005,20.029722,0.0,6.50918,16.31161133333333,0.0448881,26.50248,0.6167223000000001,1010.6666666666666,0.8235277,104.79312,19.2802,127.0797,236.0,774.6666666666666
2021-07-28 18:00:00,4,Control,-0.2900105042666666,0.6285723333333335,5.931458,0.3781560872,0.2990263333333332,4.0211,0.0,25.170393333333333,0.4160625333333334,120.33333333333331,0.8458088333333333,72.14832,11.46416,85.32516,25.33333333333333,95.0
